-1,-1
-1,-1
2,15.50620687
2.05,13.19239636
2.1,11.21067719
2.15,9.512972344
2.2,8.058418457
2.25,6.812307531
2.3,5.745050153
2.35,4.831315899
2.4,4.049461765
2.45,3.380988964
2.5,2.810012756
2.55,2.322884645
2.6,1.907897436
2.65,1.554984773
2.7,1.255469178
2.75,1.001885908
2.8,0.787824106
2.85,0.607746291
2.9,0.45683385
2.95,0.330896987
3,0.226322333
3.05,0.14000471
3.1,0.069254032
3.15,0.011710754
3.2,-0.034701596
3.25,-0.071788058
3.3,-0.101084332
3.35,-0.123871371
3.4,-0.141210034
3.45,-0.153994035
3.5,-0.163004086
3.55,-0.168937615
3.6,-0.172402886
3.65,-0.173900684
3.7,-0.173821002
3.75,-0.17245681
3.8,-0.170035261
3.85,-0.166756846
3.9,-0.162817478
3.95,-0.158397135
4,-0.153643684
4.05,-0.148669644
4.1,-0.143553599
4.15,-0.138347671
4.2,-0.133093504
4.25,-0.1278371
4.3,-0.122625958
4.35,-0.117497672
4.4,-0.112472479
4.45,-0.107558404
4.5,-0.102761716
4.55,-0.098099577
4.6,-0.093590393
4.65,-0.08923666
4.7,-0.085031433
4.75,-0.080970877
4.8,-0.077052528
4.85,-0.073280778
4.9,-0.069664487
4.95,-0.066207263
5,-0.062901965
5.05,-0.059737636
5.1,-0.056713674
5.15,-0.053830879
5.2,-0.051085083
5.25,-0.048476831
5.3,-0.046005108
5.35,-0.043659246
5.4,-0.041425768
5.45,-0.039294163
5.5,-0.037259516
5.55,-0.035320887
5.6,-0.03348102
5.65,-0.03174411
5.7,-0.030109069
5.75,-0.028574178
5.8,-0.027129135
5.85,-0.025761166
5.9,-0.024464205
5.95,-0.023233904
6,-0.022063714
6.05,-0.020950164
6.1,-0.019897951
6.15,-0.018916261
6.2,-0.01800755
6.25,-0.017163788
6.3,-0.016376325
6.35,-0.015640027
6.4,-0.014949401
6.45,-0.014293099
6.5,-0.013653564
6.55,-0.013023014
6.6,-0.012406776
6.65,-0.011816681
6.7,-0.01125799
6.75,-0.010728035
6.8,-0.010223717
6.85,-0.009742889
6.9,-0.009287652
6.95,-0.008867266
7,-0.008482697
7.05,-0.008124089
7.1,-0.007778848
7.15,-0.007444116
7.2,-0.007126071
7.25,-0.006826023
7.3,-0.006542921
7.35,-0.006273582
7.4,-0.00601471
7.45,-0.005764062
7.5,-0.005522917
7.55,-0.005295511
7.6,-0.00508375
7.65,-0.004886055
7.7,-0.004695814
7.75,-0.004509292
7.8,-0.004330528
7.85,-0.004160338
7.9,-0.003998729
7.95,-0.003844392
8,-0.003696197
8.05,-0.003553828
8.1,-0.003417637
8.15,-0.003287747
8.2,-0.003164141
8.25,-0.003048233
8.3,-0.002939981
8.35,-0.002837576
8.4,-0.002739409
8.45,-0.002645135
8.5,-0.002554231
8.55,-0.002466841
8.6,-0.00238321
8.65,-0.002303128
8.7,-0.002226485
8.75,-0.002153107
8.8,-0.002082802
8.85,-0.002015412
8.9,-0.001950779
8.95,-0.001888779
9,-0.001829681
9.05,-0.001773371
9.1,-0.00171935
9.15,-0.001667666
9.2,-0.001618131
9.25,-0.001570504
9.3,-0.001524833
9.35,-0.001481058
9.4,-0.001439072
9.45,-0.001398805
9.5,-0.001360175
9.55,-0.001323099
9.6,-0.001287507
9.65,-0.001253302
9.7,-0.001220397
9.75,-0.001188794
9.8,-0.001158452
9.85,-0.001129327
9.9,-0.0011013
9.95,-0.001074321
10,-0.001048378
10.05,-0.001023385
