-1,0,15,30,45,60,75,90,105,120,135,150,165,180
4.3,4.48067496,3.351237904,1.467710199,0.390466559,0.0375666,-0.048587941,-0.080559785,-0.107230236,-0.11747146,-0.016344553,0.659363493,2.343048014,3.497466187
4.35,3.886441114,2.907095175,1.266650816,0.328962874,0.025016756,-0.048827142,-0.077928569,-0.104139349,-0.118301431,-0.045756599,0.507642046,1.928324967,2.907737359
4.4,3.366729863,2.517581429,1.090155087,0.275512839,0.014437652,-0.04878038,-0.07535814,-0.100984501,-0.118292856,-0.069532441,0.37914581,1.573409943,2.402620713
4.45,2.912274427,2.176201321,0.935485109,0.229163004,0.0055324,-0.048526882,-0.072852567,-0.097801577,-0.117575909,-0.088476944,0.270842079,1.270484929,1.970788975
4.5,2.515017615,1.87727485,0.80018554,0.189052795,-0.001944287,-0.048113399,-0.070408135,-0.094613092,-0.11629368,-0.103299068,0.180084156,1.012714832,1.602398621
4.55,2.167948456,1.615808777,0.682043237,0.154426696,-0.008184147,-0.047555075,-0.068015946,-0.091447058,-0.114583973,-0.114649888,0.104536024,0.794097372,1.288888092
4.6,1.864963102,1.387385263,0.579071966,0.124636125,-0.013334449,-0.046843537,-0.065656439,-0.088331178,-0.112571043,-0.12312409,0.04211266,0.609337144,1.022844504
4.65,1.600719799,1.188090504,0.489511615,0.099128985,-0.017515339,-0.045965064,-0.06330161,-0.085292695,-0.110358564,-0.129246842,-0.009042845,0.45378619,0.797816616
4.7,1.37052395,1.014465033,0.411816191,0.077422943,-0.020838514,-0.044922933,-0.060929996,-0.082349005,-0.10800669,-0.133456793,-0.05059357,0.32339396,0.608153899
4.75,1.170247555,0.863450699,0.344617373,0.059069711,-0.023419571,-0.043751414,-0.058544672,-0.079495641,-0.105556872,-0.13609541,-0.084006442,0.214645003,0.4489003
4.8,0.996261577,0.732331086,0.286675941,0.043630929,-0.025380718,-0.04251042,-0.056181601,-0.07671343,-0.103037787,-0.137423272,-0.110527525,0.124490532,0.315744195
4.85,0.845360829,0.618687038,0.236849733,0.03067906,-0.026845462,-0.041263881,-0.053886333,-0.07398313,-0.100466846,-0.137644652,-0.131211755,0.050272756,0.204976745
4.9,0.714695764,0.520377161,0.194092999,0.01981708,-0.027928255,-0.040059112,-0.051683479,-0.071284332,-0.097855558,-0.136922365,-0.146954846,-0.010343421,0.113417345
4.95,0.601738841,0.435525496,0.157475803,0.010703452,-0.02872254,-0.03891893,-0.049592287,-0.068589,-0.095212761,-0.135421084,-0.158535873,-0.059411317,0.038308623
5,0.504274817,0.362492219,0.126203389,0.003071369,-0.029291145,-0.037844722,-0.047629389,-0.06589042,-0.092529941,-0.133302491,-0.166658566,-0.098714356,-0.022777891
5.05,0.420381218,0.299824538,0.099615609,-0.003268706,-0.029662798,-0.036816916,-0.045797638,-0.063206508,-0.089793125,-0.130718105,-0.171960621,-0.129771647,-0.071988678
5.1,0.348380213,0.246208769,0.077155006,-0.008451527,-0.029838668,-0.035797111,-0.044080008,-0.060570241,-0.086995965,-0.127788348,-0.174987789,-0.153858207,-0.111189897
5.15,0.286776057,0.200449292,0.058316332,-0.012595978,-0.02981074,-0.034747525,-0.042449203,-0.058015508,-0.084146189,-0.124615007,-0.176182575,-0.172043787,-0.141964023
5.2,0.234210598,0.161476626,0.042609462,-0.015836287,-0.02958347,-0.033649811,-0.040879418,-0.055573348,-0.081268058,-0.121280307,-0.175887641,-0.185247145,-0.165634925
5.25,0.189458487,0.12836518,0.029554464,-0.018328654,-0.029183641,-0.032501191,-0.039345139,-0.05326292,-0.078397119,-0.117846533,-0.174360163,-0.194293488,-0.183316344
5.3,0.151442975,0.100338567,0.018703358,-0.020235632,-0.028658888,-0.031314342,-0.037830264,-0.051091874,-0.075561416,-0.114356655,-0.171808838,-0.199940635,-0.195972245
5.35,0.119243866,0.076748741,0.00967269,-0.021701763,-0.028068192,-0.030120721,-0.036337524,-0.049061549,-0.072778583,-0.11084418,-0.168438033,-0.202861072,-0.204465823
5.4,0.092087654,0.057032299,0.002169086,-0.02283448,-0.027462999,-0.028963451,-0.034880652,-0.047154379,-0.070066922,-0.107337929,-0.164449403,-0.203617058,-0.209581321
5.45,0.069318283,0.040668487,-0.004010869,-0.023697932,-0.026871553,-0.027880222,-0.033460441,-0.045334621,-0.067432372,-0.103857587,-0.160014785,-0.202651428,-0.212004414
5.5,0.050355788,0.027160486,-0.009012378,-0.024319708,-0.026301276,-0.026893189,-0.032078641,-0.043569864,-0.064875262,-0.100405264,-0.155276081,-0.200307927,-0.212297527
5.55,0.034664836,0.016040622,-0.01296726,-0.024707005,-0.025746042,-0.026008108,-0.030747954,-0.041842327,-0.062400937,-0.096974568,-0.150347736,-0.196858007,-0.2109021
5.6,0.021747719,0.006890702,-0.016021518,-0.024865804,-0.025182862,-0.025210349,-0.029477429,-0.04014337,-0.060011382,-0.093561203,-0.145314978,-0.192538886,-0.208162169
5.65,0.011151573,-0.00063196,-0.018335974,-0.024815005,-0.024574943,-0.024471332,-0.028275193,-0.038478096,-0.057700114,-0.090167032,-0.140232304,-0.187580208,-0.204348828
5.7,0.002478575,-0.006780577,-0.020073235,-0.024588508,-0.023899478,-0.023757916,-0.027146929,-0.036854296,-0.055458964,-0.086795625,-0.135140618,-0.182187025,-0.199691655
5.75,-0.004600178,-0.011733401,-0.021380263,-0.024228458,-0.023163859,-0.023041623,-0.026098483,-0.035285625,-0.05327896,-0.083452429,-0.13008423,-0.176510825,-0.194407283
5.8,-0.010334095,-0.015631463,-0.022367811,-0.023783828,-0.022385531,-0.022296506,-0.025134407,-0.033795737,-0.051152042,-0.080148085,-0.125107388,-0.170657318,-0.188693159
5.85,-0.014904313,-0.018611367,-0.023096894,-0.023306118,-0.021584639,-0.021508824,-0.024252441,-0.03240297,-0.049079582,-0.076900141,-0.120236438,-0.164709014,-0.182699061
5.9,-0.018458187,-0.020817288,-0.023586808,-0.022829317,-0.020787583,-0.020688743,-0.023440327,-0.031118649,-0.047060912,-0.073724454,-0.115476788,-0.15872393,-0.176526493
5.95,-0.02113696,-0.022402063,-0.023841125,-0.022363704,-0.020018794,-0.019859867,-0.022681496,-0.029942324,-0.045095727,-0.070631438,-0.110826292,-0.152735067,-0.170255056
6,-0.023082305,-0.023519964,-0.023872793,-0.021906799,-0.019298015,-0.019042165,-0.021960791,-0.028860019,-0.043187354,-0.067639121,-0.106285313,-0.146776064,-0.163946577
6.05,-0.02443802,-0.024304181,-0.023711347,-0.021440254,-0.018636518,-0.018251616,-0.021263863,-0.027847381,-0.041344049,-0.064765131,-0.101858642,-0.140894951,-0.157640039
6.1,-0.025349769,-0.024841131,-0.023391128,-0.020935424,-0.018029769,-0.017517992,-0.020568756,-0.026881115,-0.039574256,-0.06201747,-0.097553593,-0.13513315,-0.151375568
6.15,-0.025946866,-0.025165383,-0.022948103,-0.020372952,-0.017463438,-0.016860814,-0.019860988,-0.025942369,-0.03788261,-0.059398294,-0.093374068,-0.129506686,-0.145209114
6.2,-0.026310717,-0.025280544,-0.022435512,-0.019741745,-0.016925237,-0.016285877,-0.019143034,-0.025019548,-0.036274791,-0.056900881,-0.089322023,-0.124016779,-0.139186759
6.25,-0.026466165,-0.025189425,-0.021912047,-0.019044396,-0.016408421,-0.01578699,-0.018422344,-0.024110077,-0.034759179,-0.054513595,-0.085401566,-0.118668348,-0.133318182
6.3,-0.026415809,-0.024910222,-0.021404391,-0.018308275,-0.01589799,-0.015345231,-0.01771162,-0.023219368,-0.033342425,-0.05223622,-0.081609116,-0.113467301,-0.127593962
6.35,-0.026177262,-0.024469897,-0.020911168,-0.017568273,-0.0153766,-0.014933332,-0.017027038,-0.022353662,-0.032027845,-0.050067278,-0.077942597,-0.108417107,-0.122022385
6.4,-0.025776638,-0.023898002,-0.020424826,-0.016849358,-0.014830116,-0.014518523,-0.016384367,-0.021517274,-0.030810546,-0.047999137,-0.074414154,-0.10352592,-0.116623754
6.45,-0.025227492,-0.023241645,-0.019924478,-0.016176068,-0.014261293,-0.014077781,-0.015794941,-0.020714543,-0.029680035,-0.046022722,-0.071036324,-0.098810236,-0.111409485
6.5,-0.024550823,-0.022566223,-0.019381817,-0.015566398,-0.013681281,-0.013607749,-0.01526448,-0.01995114,-0.028617444,-0.044128366,-0.067814659,-0.094289816,-0.106385187
6.55,-0.023804054,-0.021917566,-0.018769927,-0.015022527,-0.013101843,-0.013119826,-0.014791634,-0.019232044,-0.027597826,-0.042307072,-0.064748327,-0.089969241,-0.101560468
6.6,-0.023053926,-0.0213037,-0.018076501,-0.014529476,-0.01253624,-0.012622498,-0.014364809,-0.018559806,-0.026597579,-0.040547076,-0.061825051,-0.085839374,-0.09694211
6.65,-0.02233155,-0.020712525,-0.017326249,-0.014070402,-0.012009159,-0.012125888,-0.0139694,-0.017929208,-0.025606826,-0.038839732,-0.059038097,-0.081897151,-0.092520903
6.7,-0.021642035,-0.020118685,-0.016565399,-0.013628279,-0.011535085,-0.011648086,-0.013590469,-0.017331609,-0.024627345,-0.037184162,-0.056392017,-0.078141546,-0.088285404
6.75,-0.020980743,-0.019494893,-0.015830205,-0.013184021,-0.011120342,-0.011204434,-0.013217229,-0.016764959,-0.023667354,-0.035586108,-0.053879623,-0.074568569,-0.08423788
6.8,-0.020323908,-0.018812173,-0.015140419,-0.012724589,-0.010762572,-0.010802923,-0.012844261,-0.016233203,-0.022739082,-0.034057665,-0.051493048,-0.071173396,-0.080382668
6.85,-0.019632199,-0.018053345,-0.014520971,-0.012234984,-0.010450147,-0.01044989,-0.01246358,-0.015738352,-0.021858165,-0.032608594,-0.04922973,-0.067941392,-0.07671571
6.9,-0.018864494,-0.017239778,-0.013986591,-0.011717915,-0.010169803,-0.010147332,-0.012070319,-0.015276108,-0.021038564,-0.031245625,-0.047087595,-0.064861986,-0.073219614
6.95,-0.018024431,-0.016414368,-0.013519562,-0.011182106,-0.009904266,-0.009890659,-0.011665447,-0.014836823,-0.020284398,-0.029965795,-0.045059284,-0.061934361,-0.069870033
7,-0.017155052,-0.015621413,-0.013088009,-0.010649214,-0.009638637,-0.009663302,-0.011254644,-0.014407844,-0.019588889,-0.028759542,-0.043132444,-0.059143795,-0.066662454
7.05,-0.016296776,-0.01488896,-0.012660993,-0.010136554,-0.009358783,-0.00944873,-0.010845754,-0.013980014,-0.018936196,-0.02761068,-0.041293172,-0.056473714,-0.063598345
