-1,0,0,0,0,0,0,0,0,30,30,30,30,30,30,60,60,60,60,60,60,60,120,120,120,120,120,120,120,150,150,150,150,150,150,120,180,180,180,180,180,180,180
-1,0,30,60,90,120,150,180,30,30,60,90,120,150,180,0,30,60,90,120,150,180,0,30,60,90,120,150,180,0,30,60,90,120,150,180,0,30,60,90,120,150,180
4,-1,-1,3.197946044,4.395125806,-1,-1,-1,-1,-1,-1,-1,6.891579319,-1,-1,-1,-1,-1,-1,1.986736643,24.97784834,-1,-1,-1,-1,-1,122.1746746,18.1293736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,386.6471443,2.39836136,0.106306301,-1,-1
4.05,-1,-1,2.96704363,4.091502166,-1,-1,-1,-1,-1,-1,-1,6.439816436,-1,-1,-1,-1,-1,-1,1.835751083,23.58350047,-1,-1,-1,-1,-1,114.8408848,17.06058674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,363.7943405,2.227932979,0.081943465,-1,-1
4.1,-1,-1,2.745739863,3.799438246,-1,-1,-1,-1,-1,-1,-1,6.003133432,-1,-1,-1,-1,-1,-1,1.691583264,22.18630163,-1,-1,-1,-1,-1,107.4618469,16.00445799,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,340.9511295,2.064082196,0.059864934,-1,-1
4.15,-1,-1,2.534299606,3.519390804,-1,-1,-1,-1,-1,-1,-1,5.582482281,-1,-1,-1,-1,-1,-1,1.554354443,20.79841871,-1,-1,-1,-1,-1,100.1334614,14.97028063,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,318.3674281,1.907102316,0.039868238,-1,-1
4.2,-1,-1,2.332920943,3.251723082,-1,-1,-1,-1,-1,-1,-1,5.178639088,-1,-1,-1,-1,-1,-1,1.424102851,19.43269708,-1,-1,-1,-1,-1,92.94184483,13.96495669,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,296.0313817,1.757208641,0.021763972,-1,-1
4.25,-1,-1,2.141727614,2.996694147,-1,-1,-1,-1,-1,-1,-1,4.792228474,-1,-1,-1,-1,-1,-1,1.300816027,18.10181377,-1,-1,-1,-1,-1,85.96109261,12.99347985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,273.8150732,1.614536895,0.00538934,-1,-1
4.3,-1,-1,1.960770352,2.754459755,-1,-1,-1,-1,-1,-1,-1,4.423727994,-1,-1,-1,-1,-1,-1,1.184464411,16.81569658,-1,-1,-1,-1,-1,79.25117619,12.05949146,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,251.7451088,1.479158054,-0.009390158,-1,-1
4.35,-1,-1,1.790026542,2.52508851,-1,-1,-1,-1,-1,-1,-1,4.073449826,-1,-1,-1,-1,-1,-1,1.074988713,15.58081235,-1,-1,-1,-1,-1,72.85094254,11.16561345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,230.2854726,1.351092809,-0.022693543,-1,-1
4.4,-1,-1,1.629398753,2.308571774,-1,-1,-1,-1,-1,-1,-1,3.741536883,-1,-1,-1,-1,-1,-1,0.972284215,14.40129789,-1,-1,-1,-1,-1,66.69035023,10.31365883,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,209.7761322,1.230315095,-0.034630448,-1,-1
4.45,-1,-1,1.478724239,2.104820165,-1,-1,-1,-1,-1,-1,-1,3.427981237,-1,-1,-1,-1,-1,-1,0.876221236,13.2797847,-1,-1,-1,-1,-1,60.90607118,9.504768197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,190.2920448,1.116747756,-0.045309274,-1,-1
4.5,-1,-1,1.337793022,1.913660309,-1,-1,-1,-1,-1,-1,-1,3.132647108,-1,-1,-1,-1,-1,-1,0.786659418,12.21774015,-1,-1,-1,-1,-1,55.53909801,8.739501937,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,171.8927113,1.010271472,-0.05483204,-1,-1
4.55,-1,-1,1.206360675,1.73484089,-1,-1,-1,-1,-1,-1,-1,2.855293285,-1,-1,-1,-1,-1,-1,0.703433746,11.21568013,-1,-1,-1,-1,-1,50.597689,8.017911552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,154.6248917,0.910740298,-0.063275237,-1,-1
4.6,-1,-1,1.084154042,1.568043286,-1,-1,-1,-1,-1,-1,-1,2.595589829,-1,-1,-1,-1,-1,-1,0.626345723,10.27339127,-1,-1,-1,-1,-1,46.07486975,7.339620288,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,138.5350324,0.817980843,-0.070699965,-1,-1
4.65,-1,-1,0.970873991,1.412898236,-1,-1,-1,-1,-1,-1,-1,2.353128902,-1,-1,-1,-1,-1,-1,0.555169112,9.39012377,-1,-1,-1,-1,-1,41.94014246,6.703912632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,123.6728447,0.731786664,-0.077185625,-1,-1
4.7,-1,-1,0.866191679,1.269009039,-1,-1,-1,-1,-1,-1,-1,2.12742984,-1,-1,-1,-1,-1,-1,0.489654111,8.564698779,-1,-1,-1,-1,-1,38.13240658,6.109809964,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,110.0774791,0.65192633,-0.082830736,-1,-1
4.75,-1,-1,0.769743861,1.135961276,-1,-1,-1,-1,-1,-1,-1,1.9179437,-1,-1,-1,-1,-1,-1,0.429527519,7.795550412,-1,-1,-1,-1,-1,34.57928155,5.556127583,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97.75871039,0.578152737,-0.087723747,-1,-1
4.8,-1,-1,0.681136985,1.013311768,-1,-1,-1,-1,-1,-1,-1,1.724059318,-1,-1,-1,-1,-1,-1,0.374497445,7.080780682,-1,-1,-1,-1,-1,31.23458133,5.041511863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86.69247252,0.510204356,-0.091931075,-1,-1
4.85,-1,-1,0.599959187,0.90058171,-1,-1,-1,-1,-1,-1,-1,1.545114386,-1,-1,-1,-1,-1,-1,0.324265967,6.418239428,-1,-1,-1,-1,-1,28.09755885,4.564459224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.82387709,0.447807252,-0.095509021,-1,-1
4.9,-1,-1,0.525790376,0.797264845,-1,-1,-1,-1,-1,-1,-1,1.380410436,-1,-1,-1,-1,-1,-1,0.278538983,5.805601864,-1,-1,-1,-1,-1,25.19983968,4.123334962,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.05985485,0.390681777,-0.098505615,-1,-1
4.95,-1,-1,0.458212412,0.702842103,-1,-1,-1,-1,-1,-1,-1,1.229227965,-1,-1,-1,-1,-1,-1,0.23702417,5.240438109,-1,-1,-1,-1,-1,22.56258412,3.716408007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60.01214471,0.338548847,-0.100950351,-1,-1
5,-1,3.271319892,0.396818941,0.616790702,1.900080286,-1,5.612591341,-1,3.305862037,10.48209437,-1,1.090837813,-1,5.612591341,-1,3.294843498,4.794937209,13.04817068,0.199431138,4.720267478,5.612591341,-1,0.40423777,0.344064803,-1,20.17503354,3.341894729,5.612591341,-1,6.097824589,5.466048793,3.139733893,2.181734962,3.291210792,5.612591341,-1,20.64447051,52.99648722,0.291133211,-0.102860464,-1,5.612591341
5.05,-1,2.934974276,0.341217487,0.538579033,1.697432194,-1,5.045062306,-1,2.965945287,9.412813843,-1,0.964505893,-1,5.045062306,-1,2.956089164,4.308700687,11.70142645,0.165485603,4.242601112,5.045062306,-1,0.34932744,0.295238828,-1,18.01852617,2.997997977,5.045062306,-1,5.485377472,4.916064236,2.816314438,1.952636703,2.952856705,5.045062306,-1,18.4450055,46.83688899,0.248157529,-0.10426317,-1,5.045062306
